correo1@hotmail.com,Fulano1,Perez1,1234567891,65509361,No
correo2@hotmail.com,Fulano2,Perez2,1234567892,65509362,Si
correo3@hotmail.com,Fulano3,Perez3,1234567893,65509363,Si
correo4@hotmail.com,Fulano4,Perez4,1234567894,65509364,No
correo5@hotmail.com,Fulano5,Perez5,1234567895,65509365,No
correo6@hotmail.com,Fulano6,Perez6,1234567896,65509366,Si
correo7@hotmail.com,Fulano7,Perez7,1234567897,65509367,Si
correo8@hotmail.com,Fulano8,Perez8,1234567898,65509368,No
correo9@hotmail.com,Fulano9,Perez9,1234567899,65509369,No
correo10@hotmail.com,Fulano10,Perez10,1234567900,65509370,Si
correo11@hotmail.com,Fulano11,Perez11,1234567901,65509371,Si
correo12,Fulano12,Perez12,1234567902,65509372,No
correo13@hotmail.com,Fulano13,Perez13,1234567903,65509373,No
